listing_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,host_neighbourhood_Adams,host_neighbourhood_Alki,host_neighbourhood_Arbor Heights,host_neighbourhood_Atlantic,host_neighbourhood_Belltown,host_neighbourhood_Bitter Lake,host_neighbourhood_Briarcliff,host_neighbourhood_Brighton,host_neighbourhood_Broadview,host_neighbourhood_Broadway,host_neighbourhood_Bryant,host_neighbourhood_Cedar Park,host_neighbourhood_Central Business District,host_neighbourhood_Columbia City,host_neighbourhood_Crown Hill,host_neighbourhood_Dunlap,host_neighbourhood_East Queen Anne,host_neighbourhood_Eastlake,host_neighbourhood_Fairmount Park,host_neighbourhood_Fauntleroy,host_neighbourhood_First Hill,host_neighbourhood_Fremont,host_neighbourhood_Gatewood,host_neighbourhood_Genesee,host_neighbourhood_Georgetown,host_neighbourhood_Green Lake,host_neighbourhood_Greenwood,host_neighbourhood_Haller Lake,host_neighbourhood_Harrison/Denny-Blaine,host_neighbourhood_High Point,host_neighbourhood_Highland Park,host_neighbourhood_Holly Park,host_neighbourhood_Industrial District,host_neighbourhood_Interbay,host_neighbourhood_International District,host_neighbourhood_Laurelhurst,host_neighbourhood_Lawton Park,host_neighbourhood_Leschi,host_neighbourhood_Lower Queen Anne,host_neighbourhood_Loyal Heights,host_neighbourhood_Madison Park,host_neighbourhood_Madrona,host_neighbourhood_Mann,host_neighbourhood_Maple Leaf,host_neighbourhood_Matthews Beach,host_neighbourhood_Meadowbrook,host_neighbourhood_Mid-Beacon Hill,host_neighbourhood_Minor,host_neighbourhood_Montlake,host_neighbourhood_Mount Baker,host_neighbourhood_North Admiral,host_neighbourhood_North Beach/Blue Ridge,host_neighbourhood_North Beacon Hill,host_neighbourhood_North College Park,host_neighbourhood_North Delridge,host_neighbourhood_North Queen Anne,host_neighbourhood_Olympic Hills,host_neighbourhood_Phinney Ridge,host_neighbourhood_Pike-Market,host_neighbourhood_Pinehurst,host_neighbourhood_Pioneer Square,host_neighbourhood_Portage Bay,host_neighbourhood_Rainier Beach,host_neighbourhood_Ravenna,host_neighbourhood_Riverview,host_neighbourhood_Roosevelt,host_neighbourhood_Roxhill,host_neighbourhood_Seaview,host_neighbourhood_Seward Park,host_neighbourhood_South Beacon Hill,host_neighbourhood_South Delridge,host_neighbourhood_South Lake Union,host_neighbourhood_South Park,host_neighbourhood_Southeast Magnolia,host_neighbourhood_Stevens,host_neighbourhood_Sunset Hill,host_neighbourhood_University District,host_neighbourhood_Victory Heights,host_neighbourhood_View Ridge,host_neighbourhood_Wallingford,host_neighbourhood_Wedgwood,host_neighbourhood_West Queen Anne,host_neighbourhood_West Woodland,host_neighbourhood_Westlake,host_neighbourhood_Whittier Heights,host_neighbourhood_Windermere,host_neighbourhood_Yesler Terrace,verification_amex,verification_email,verification_facebook,verification_google,verification_jumio,verification_kba,verification_linkedin,verification_manual_offline,verification_manual_online,verification_phone,verification_photographer,verification_reviews,verification_sent_id,verification_weibo,zipcode_98101,zipcode_98102,zipcode_98103,zipcode_98104,zipcode_98105,zipcode_98106,zipcode_98107,zipcode_98108,zipcode_98109,zipcode_98112,zipcode_98115,zipcode_98116,zipcode_98117,zipcode_98118,zipcode_98119,zipcode_98121,zipcode_98122,zipcode_98125,zipcode_98126,zipcode_98133,zipcode_98134,zipcode_98136,zipcode_98144,zipcode_98146,zipcode_98177,zipcode_98178,zipcode_98199,zipcode_9998122,has_tv,has_cable_tv,has_internet,has_wireless_internet,has_air_conditioning,has_kitchen,has_heating,has_washer,has_dryer,has_family_kid_friendly,has_free_parking_on_premises,has_pets_allowed,has_hot_tub,has_indoor_fireplace,has_breakfast,has_essentials,has_shampoo,has_smoke_detector,has_carbon_monoxide_detector,has_first_aid_kit,has_fire_extinguisher,has_laptop_friendly_workspace,has_wheelchair_accessible
241032,2011-08-11,3.0,3.0,96.0,100.0,0,3.0,3.0,1,14.0,2.0,4,1.0,1.0,1.0,4.0,85.0,650.0,2200.0,50.0,2,5.0,1,365,1,14,41,71,346,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
953595,2013-02-21,3.0,4.0,98.0,100.0,1,6.0,6.0,1,14.0,2.0,4,1.0,1.0,1.0,4.0,150.0,1000.0,3000.0,40.0,1,0.0,2,90,1,13,13,16,291,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
3308979,2014-06-12,3.0,3.0,67.0,100.0,0,2.0,2.0,1,15.0,2.0,11,4.5,5.0,7.0,4.0,975.0,650.0,2200.0,300.0,10,25.0,4,30,1,1,6,17,220,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
7421966,2013-11-06,3.0,0.0,0.0,0.0,0,1.0,1.0,1,14.0,2.0,3,1.0,0.0,2.0,4.0,100.0,650.0,2300.0,50.0,1,0.0,1,1125,1,0,0,0,143,0,,,,,,,,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0
278830,2011-11-29,3.0,4.0,100.0,0.0,0,2.0,2.0,1,15.0,2.0,6,2.0,3.0,3.0,4.0,450.0,650.0,2200.0,125.0,6,15.0,1,1125,1,30,60,90,365,38,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
5956968,2010-12-25,3.0,0.0,0.0,0.0,0,1.0,1.0,1,15.0,1.0,2,1.0,1.0,1.0,4.0,120.0,800.0,2200.0,40.0,1,30.0,1,6,1,0,0,27,302,17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
1909058,2012-05-30,3.0,4.0,100.0,100.0,1,1.0,1.0,1,15.0,1.0,2,1.0,1.0,1.0,4.0,80.0,575.0,2200.0,50.0,1,10.0,3,14,1,20,49,71,346,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
856550,2012-10-30,3.0,4.0,100.0,100.0,1,5.0,5.0,1,7.0,1.0,2,1.0,1.0,1.0,4.0,60.0,360.0,2200.0,25.0,1,0.0,2,7,1,22,42,42,100,173,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4948745,2012-04-18,3.0,0.0,0.0,100.0,0,1.0,1.0,1,14.0,1.0,2,1.0,1.0,1.0,4.0,90.0,500.0,1700.0,50.0,1,0.0,3,1125,1,6,36,66,341,8,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
2493658,2013-02-21,3.0,4.0,98.0,100.0,1,6.0,6.0,1,14.0,2.0,4,1.0,1.0,1.0,4.0,150.0,1000.0,3000.0,40.0,1,0.0,2,365,1,6,19,49,324,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0
